target,text,nltk_clean_text,spacy_clean_text
0,tomorrow is going to come too early. Closed at coldstone tonight... lifeguard 8:30-4:30 tomorrow.  I pray it rains!,tomorrow going come early closed coldstone tonight lifeguard 830430 tomorrow pray rain,tomorrow go come early closed coldstone tonight lifeguard tomorrow pray rain
0,ugh.. figures it is supposed to rain the day I am supposed to go hang out...    so bummed,ugh figure supposed rain day supposed go hang bummed,ugh figure suppose rain day suppose hang bum
0,Is wondering is this is what swine flu feels like    I feel dreadful.,wondering swine flu feel like feel dreadful,wonder swine flu feel like feel dreadful
1,cooking supper for the kids ,cooking supper kid,cooking supper kid
1,back in the office ,back office,office
1,@lisa_baroni LOL... I hear lil Lisa B is awesome at picking the VERY BEST smut!    Hope you enjoyed your day! I'm wishing for sunshine!,_baroni lol hear lil lisa b awesome picking best smut hope enjoyed day im wishing sunshine,baroni lol hear lil lisa b awesome pick best smut hope enjoy day m wish sunshine
0,@Sueinge Peanuts also release inflammatory oils when consumed which isn't good for those with inflammatory conditions. ,peanut also release inflammatory oil consumed isnt good inflammatory condition,peanuts release inflammatory oil consume not good inflammatory condition
1,@Donniedoll i'll send u a pic. hold on a sec ,ill send u pic hold sec,ill send u pic hold sec
0,"@fadedmoon oh god, that's so sad. why did they kill it? ",oh god thats sad kill,oh god s sad kill
0,&quot;Participating shop&quot; didn't know anything about Vinyl Saturday &amp; thus never got  copies of the special #greenday 7&quot;  ,quotparticipating shopquot didnt know anything vinyl saturday amp thus never got copy special 7quot,quotparticipating shopquot not know vinyl saturday amp get copy special quot
0,"@Jonasbrothers im so busy, so i couldn't buy LV&amp;TT yet  loove you so much guys and come to brazil again",im busy couldnt buy lvamptt yet loove much guy come brazil,m busy not buy lvamptt loove guy come brazil
0,"Awww, just finished the last episode of Sailor Moon. I wish it didn't end  Seiya is sooo wonderful.",awww finished last episode sailor moon wish didnt end seiya sooo wonderful,awww finish episode sailor moon wish not end seiya sooo wonderful
1,Going shopping with Kristina for some comfortable shoes. And it's absolutely beautiful outside in NY ,going shopping kristina comfortable shoe absolutely beautiful outside ny,go shop kristina comfortable shoe absolutely beautiful outside ny
1,@DustinUrbanski Glad to hear it! I'm doing awesome! I'm writing more to my story and haven't hit &quot;the wall&quot; (yet)...so life is good! ,glad hear im awesome im writing story havent hit quotthe wallquot yetso life good,glad hear m awesome m write story not hit quotthe wallquot yetso life good
1,@twervert that's their most popular. It's good. I dig'em ,thats popular good digem,s popular good digem
0,"There was a fire hydrant going off, profusely spraying everywhere and i drove through it. Windows down. Everything is wet ",fire hydrant going profusely spraying everywhere drove window everything wet,fire hydrant go profusely spray drive window wet
0,Pack your mud boots for Glastonbury... Thunderstorms forecast    http://bit.ly/xwfsq,pack mud boot glastonbury thunderstorm forecast,pack mud boot glastonbury thunderstorms forecast
0,@shoveth Very doubtful ,doubtful,doubtful
0,@LunarHavok awww it looks like the ustream app doesn't let you view specific streams. only popular streams  laaame,awww look like ustream app doesnt let view specific stream popular stream laaame,awww look like ustream app not let view specific stream popular stream laaame
0,"So freaking tired, but gotta go to work ",freaking tired gotta go work,freaking tired get to work
0,maybe going to the movies later? ik gay ,maybe going movie later ik gay,maybe go movie later ik gay
0,so i just woke up and i just watched my car get towed away ,woke watched car get towed away,wake watch car tow away
1,@electrookosh happy bday!! all the bestest wishes! may all ur dreams come true  have fun! ,happy bday bestest wish may ur dream come true fun,happy bday best wish ur dream come true fun
0,"still looking for a job, cant find  last week of chances or I can leave my sweet little house.... help!",still looking job cant find last week chance leave sweet little house help,look job not find week chance leave sweet little house help
0,@SteveChaiGuy if u want? ,u want,u want
1,@jblake999 HA! totally know what you mean. The kids room is usually a mess again by the tie I'm done w/ the kitchen...vicious cycle ,ha totally know mean kid room usually mess tie im done w kitchenvicious cycle,ha totally know mean kid room usually mess tie m w kitchenvicious cycle
0,I'm really tired...and my eyes hurt ,im really tiredand eye hurt,m tiredand eye hurt
0,@saucybritches are there going to be any cute preggy clothes? Clothes shopping has become the bane of my existance ,going cute preggy clothes clothes shopping become bane existance,go cute preggy clothe clothes shopping bane existance
1,insanely busy work day!!   will be sending #FF love a little bit later...,insanely busy work day sending love little bit later,insanely busy work day send love little bit later
0,I also played Bionic Commando on 360... i really think that awkward is equal to bionic arm  sad... because BCRearmed is awesome.,also played bionic commando 360 really think awkward equal bionic arm sad bcrearmed awesome,play bionic commando think awkward equal bionic arm sad bcrearmed awesome
1,B is for buy and large. Your very best friend ,b buy large best friend,b buy large good friend
1,@TherealWill thanx a mil 4 the follow! ,thanx mil 4 follow,thanx mil follow
1,@thisisScoMan Lameos like us.  It's just because we take pride in our work ,lameos like u take pride work,lameo like pride work
0,"The last period/overtime were freaking nerve-wracking, but we won! Game 7 is tomorrow night, and it's 3-3. Not happy that I'll be working ",last periodovertime freaking nervewracking game 7 tomorrow night 33 happy ill working,periodovertime freak nervewracking win game tomorrow night happy ill work
1,@itshanni3 @ilybunny yay! *dances more* ,yay dance,yay dance
0,just dropped a ten pound weigh on my foot ,dropped ten pound weigh foot,drop pound weigh foot
0,oh and my dad's friend passed away today.  i'll hopefully be making a day trip up to erie  for the funeral.,oh dad friend passed away today ill hopefully making day trip erie funeral,oh dad friend pass away today ill hopefully make day trip erie funeral
1,@miss_tattoo ohhhhhhh yes. I think I was ythe only one in my area that knew the words last night. ,_tattoo ohhhhhhh yes think ythe one area knew word last night,tattoo ohhhhhhh yes think ythe area know word night
1,Just what you need  http://bit.ly/m6cQ,need,need
1,@NoMatch4me haha too funny! gotta love when that happens! ,haha funny gotta love happens,haha funny get to love happen
1,@moonfrye the betts-green institute for awesomeness  (or awesome kids)...,bettsgreen institute awesomeness awesome kid,bettsgreen institute awesomeness awesome kid
0,@RachTheThing There are also too many great Origins of Symmetry songs. ,also many great origin symmetry song,great origins symmetry song
1,"@MandyLdeWaal because our enemies define us, without them, we wouldn't exist  This applies to g-d too ;)",enemy define u without wouldnt exist applies gd,enemy define not exist apply gd
0,i miss my kids. i adore all their parents bcs dey are reli nice to me n appreciate all dat ive done 4 their kids ,miss kid adore parent bcs dey reli nice n appreciate dat ive done 4 kid,miss kid adore parent bcs dey reli nice n appreciate dat ve kid
0,"Ugh, one of the doctors here wants me to wait in the ER to get &quot;evaluated&quot;. I don't have 2 hours to waste though ",ugh one doctor want wait er get quotevaluatedquot dont 2 hour waste though,ugh doctor want wait er quotevaluatedquot not hour waste
0,"@bobbythomas1 Indifference is the essence of inhumanity, hope it's not what u think of me! ",indifference essence inhumanity hope u think,indifference essence inhumanity hope u think
1,"&quot;Oldtimers, weekends, and airplane landings are alike. If you can walk away from them, they're successful&quot; - Casey Stengel Morning all! ",quotoldtimers weekend airplane landing alike walk away theyre successfulquot casey stengel morning,quotoldtimer weekend airplane landing alike walk away successfulquot casey stengel morning
1,Hoping to get Google Wave sandbox access ,hoping get google wave sandbox access,hope google wave sandbox access
1,@hijinksensue that's the problem with a great line that's not the punchline: people tend not to notice it as much  Keep up the great work!,thats problem great line thats punchline people tend notice much keep great work,s problem great line s punchline people tend notice great work
0,empty without my heart. ,empty without heart,heart
0,facebook need a surgery - it's lungs are filled with marijuana .. ,facebook need surgery lung filled marijuana,facebook need surgery lung fill marijuana
0,"@FUCKCITY Fucking amazing show tonight, I was sad we didn't get to meet you guys  Oh well, next time!",fucking amazing show tonight sad didnt get meet guy oh well next time,fucking amazing tonight sad not meet guy oh time
0,@DavidArchie are you okay?! I'm worried about you! ,okay im worried,okay m worried
0,"@Hevvs you got yours back, and mines being sent away to get fixed tommorow ",got back mine sent away get fixed tommorow,get mine send away fix tommorow
0,squirting videos didnï¿½t help. Still hungry ,squirting video didnt help still hungry,squirt video not help hungry
1,"BBQ's up and running, cracking open the beer, no more posts 'till I'm sober again ",bbqs running cracking open beer post till im sober,bbq run crack open beer post till m sober
1,@myuze_me Haha. Thats the good thing about being on my own this weekend! ,_me haha thats good thing weekend,haha s good thing weekend
1,"@solomonsydelle The amazing thing knights do for damsels in distress, I suppose a spider could be a dragon. ",amazing thing knight damsel distress suppose spider could dragon,amazing thing knight damsel distress suppose spider dragon
1,"All the @geeksonaplane people - accounts being set up today. Bring back gifts, and hand them to @christinelu to bring to me.  #goap",people account set today bring back gift hand bring,people account set today bring gift hand bring
0,Ughh headache ,ughh headache,ughh headache
0,Watching Jay Leno's last Tonight Show EVER...   sad day. Conan is terrible.,watching jay lenos last tonight show ever sad day conan terrible,watch jay lenos tonight sad day conan terrible
1,i dont know how to work this. ,dont know work,not know work
0,@DinoVXXX  what are you up to lol,lol,lol
1,I think holly wouldnt def should ,think holly wouldnt def,think holly not def
0,The worst part is Forgiving someone only because you cant life without them ,worst part forgiving someone cant life without,bad forgive not life
1,YAY! Love Never Fails has been updated! Read and review!!  xo,yay love never fails updated read review xo,yay love fails update read review xo
1,@daytimedream Sent you an email. ,sent email,send email
0,going college ,going college,go college
0,"@LouYoungNY I'm jealous u can just jog dn 2 the water! I luv the beach &amp; whr I live itza drive (20-25 min 2 nth shr, 35-40min 2 sth shr)! ",im jealous u jog dn 2 water luv beach amp whr live itza drive 2025 min 2 nth shr 3540min 2 sth shr,m jealous u jog dn water luv beach amp whr live itza drive min nth shr min sth shr
0, i can't type! my mad typing skills are screwed! this damn papercut!,cant type mad typing skill screwed damn papercut,not type mad typing skill screw damn papercut
0,... i can leave work after this game ends. how long does a soccer game takeeee?? ,leave work game end long soccer game takeeee,leave work game end long soccer game takeeee
1,@dgnt08 &quot;Happy Mother's Day&quot;!!! I hope it's all about u. Make sure u get pampered. ,quothappy mother dayquot hope u make sure u get pampered,quothappy mothers dayquot hope u sure u pamper
1,best lyrics  &quot;so sacrifice yourself and let me have what's left&quot;,best lyric quotso sacrifice let whats leftquot,good lyric quotso sacrifice let s leftquot
1,@WritingSpirit What's #writechat? I feel like I missed something! ,whats feel like missed something,s feel like miss
0,@RainaLizell ,,
0,I wish u had tickets to Taylor swift's show in 5 days ,wish u ticket taylor swift show 5 day,wish u ticket taylor swift day
1,"My theory : lakers , cleaveland , or celtics will win it this year  as for now me and the bestest go for King James! Cuz our Nash isn' ...",theory lakers cleaveland celtic win year bestest go king james cuz nash,theory laker cleaveland celtic win year best king james cuz nash isn
1,"@yelyahwilliams Side note (just because): I work at Imprint, and am last person to see your (and most FBR) pkg graphics before print. ",side note work imprint last person see fbr pkg graphic print,note work imprint person fbr pkg graphic print
0,"@krist0ph3r @hg6789 hmm,.. Its so difficult gifting a person, who has everything,.,..  ",hmm difficult gifting person everything,hmm difficult gift person
0,"@siphotwit damn, where's ludi? ",damn wheres ludi,damn s ludi
0,@Scott_Spears Chet beat me at monopoly ,_spears chet beat monopoly,spears chet beat monopoly
0,"oh herwo, stupid ymcam mtg today. ",oh herwo stupid ymcam mtg today,oh herwo stupid ymcam mtg today
1,@TomFelton please give me and @anambanana a shoutout.  we voted for you in Mr. Twitteruniverse. ,please give shoutout voted mr twitteruniverse,shoutout vote mr twitteruniverse
1,photo session + mother-daughters bonding session = happy me ,photo session motherdaughters bonding session happy,photo session motherdaughter bonding session happy
0,@kgbeats king crab legs are calling my name.. saying gloria.... we miss you.... i miss them too. boo. ,king crab leg calling name saying gloria miss miss boo,king crab leg call say gloria miss miss boo
0,XShefSx this whole week is killin my mood i have 5 exams too lol  and yeah big hugs wen we get in 2moro ;) lmao x,xshefsx whole week killin mood 5 exam lol yeah big hug wen get 2moro lmao x,xshefsx week killin mood exam lol yeah big hug wen moro lmao x
1,has had breakfast today! good work! Today I will be fighting against the  Anti-social behaviour in Alvaston! Bring it on youthlings! ,breakfast today good work today fighting antisocial behaviour alvaston bring youthlings,breakfast today good work today fight antisocial behaviour alvaston bring youthling
0,wow! I have so much homework for tomorrow!  ,wow much homework tomorrow,wow homework tomorrow
0,@SincereBC  now why you gotta ask that ,gotta ask,got to ask
0,"@keegs3225  I hear you, Keegs! and I was sooo looking forward to this one, won't be able to watch the next 2... ",hear keegs sooo looking forward one wont able watch next 2,hear keegs sooo look forward will not able watch
1,"Dammit... had to take my gauges out today, due to them not healing right... On a brighter note, I got new music. ",dammit take gauge today due healing right brighter note got new music,dammit gauge today heal right bright note get new music
1,@simplymallory aw i love you too!!  &lt;3,aw love lt3,aw love lt
0,"@kiki_anderson Yes, it is sad. ",_anderson yes sad,anderson yes sad
1,If Nintendo made Halo 3 http://bit.ly/Tc0G8 *funny for game geeks ,nintendo made halo 3 funny game geek,nintendo halo funny game geek
1,@DMB_ well I'm following you.you seem cool. ,_ well im following youyou seem cool,m follow youyou cool
0,@Ihnatko You never posted your conclusions on the Vado vs. Mino comparison.  Was looking forward to that... ,never posted conclusion vado v mino comparison looking forward,post conclusion vado vs mino comparison look forward
1,"In bed, watching Rainbow and Wind in the Willows on Youtube with Florence ",bed watching rainbow wind willow youtube florence,bed watch rainbow wind willows youtube florence
1,ooh! iam now addicted to @taylorswift13 's OUR SONG!! i think i played it for more than 30 times today!! and still counting... waaaaaaah! ,ooh iam addicted song think played 30 time today still counting waaaaaaah,ooh iam addict s song think play time today count waaaaaaah
1,I was going to do my media studies homework but i feel grey's anatomy is more important ,going medium study homework feel grey anatomy important,go medium study homework feel grey anatomy important
1,@PoohDAPRINCESS Please support Electrik Red and sign these http://bit.ly/42zJa http://twitition.com/f5iae Thanks!!! ,please support electrik red sign thanks,support electrik red sign thank
0,@brookeschwab Sorry u had a bad experience w/the pastor.  ,sorry u bad experience wthe pastor,sorry u bad experience wthe pastor
1,@FoxWhisperer You certainly did that.  When do you arrive?,certainly arrive,certainly arrive
1,@ReikiAwakening sea salt i hope ,sea salt hope,sea salt hope
0,looking out the window... at the damn rain ,looking window damn rain,look window damn rain
1,its 7:18 i'm awake refreshed  getting dressed heading out for coffee and class...todays gonna be a good day,718 im awake refreshed getting dressed heading coffee classtodays gonna good day,m awake refresh get dressed head coffee classtoday go to good day
1,"he is cute &amp; rain sucks! @cutishy i have an outfit for the hippie day, it's hilarious ",cute amp rain suck outfit hippie day hilarious,cute amp rain suck outfit hippie day hilarious
1,@_Chelsea_Marie that's great it will be over before you know it  xx,_chelsea_marie thats great know xx,chelsea_marie s great know xx
1,@kellylk12 i didn't know you were going there!!!! can i have a postcard from there?? pretty please?? ,didnt know going postcard pretty please,not know go postcard pretty
0,"In Dayton. What to do? DAI, Oregon District, my aunt's house...gotta run errands too ",dayton dai oregon district aunt housegotta run errand,dayton dai oregon district aunt housegotta run errand
0,watching more soccer...wishing I was home playing with my boys...  ,watching soccerwishing home playing boy,watch soccerwishe home play boy
1,@tommcfly see if i had a swimming pool in my back garden would you swim in it? ,see swimming pool back garden would swim,swimming pool garden swim
1,@snufsnuf  congrats for passing the driving theory test ,congrats passing driving theory test,congrat pass driving theory test
1,"@sixthessence Yay, pics! ",yay pic,yay pic
1,Enjoying my cinnamon frappe ,enjoying cinnamon frappe,enjoy cinnamon frappe
0,"@__tessa WHAT im working untill 8  so ill be able to watch you guys eat your luxurious pizzas? ow, what time do u think it will go untill?",__tessa im working untill 8 ill able watch guy eat luxurious pizza ow time u think go untill,tessa m work untill ill able watch guy eat luxurious pizza ow time u think untill
0,Cramps suck!! Lmao.    night guys. Hear you in the morning! Haha,cramp suck lmao night guy hear morning haha,cramp suck lmao night guy hear morning haha
0,@BrandonBarber12 thanks for your comment on the dogs dying in the hot car... awful ,thanks comment dog dying hot car awful,thank comment dog die hot car awful
0,I still feel like crying! There's nothing I can do!!!! ,still feel like cry there nothing,feel like cry s
0,Sorry to hear that Adam Cook has die  ,sorry hear adam cook die,sorry hear adam cook die
1,Roger Federer is making Switzerland proud... all the way  Er isch dr bescht numeno Wimbledon... go roschÃ©!,roger federer making switzerland proud way er isch dr bescht numeno wimbledon go rosch,roger federer make switzerland proud way er isch dr bescht numeno wimbledon rosch
0,@PinkTrees: i got disconnected ,got disconnected,got disconnect
1,@houstonchick the crazy part. lips too. ,crazy part lip,crazy lip
0,packing stuff to leave london ,packing stuff leave london,pack stuff leave london
0,did anyone else find it terribly sad that rock the vote sponsored a dmv concert in a city where people have no vote in congress? ,anyone else find terribly sad rock vote sponsored dmv concert city people vote congress,find terribly sad rock vote sponsor dmv concert city people vote congress
1,"@cravn Ah yeah... feel free to mail me some, I'll send you my address... ",ah yeah feel free mail ill send address,ah yeah feel free mail ill send address
1,@KunningLingwist Thye mostly came from my website anyway ,thye mostly came website anyway,thye come website
0,Back to revision ,back revision,revision
0,miss playing Sims 3..  but I'm stuck at home rushing my coursework.. damn..,miss playing sims 3 im stuck home rushing coursework damn,miss play sims m stuck home rush coursework damn
0,Love thunderstorms.  Wish we didn't have to leave Missy's house.   Perfect movies-PJs-food day ,love thunderstorm wish didnt leave missy house perfect moviespjsfood day,love thunderstorm wish not leave missys house perfect moviespjsfood day
1,"Shout out to my new followers! I'm very random, I'm married to a man name Music Last name Hip-Hop!  Tweet with me, no Stalking allowed ",shout new follower im random im married man name music last name hiphop tweet stalking allowed,shout new follower m random m married man music hiphop tweet stalking allow
1,lovely woolworths buffet lunch under the belt ... and now more work ,lovely woolworth buffet lunch belt work,lovely woolworth buffet lunch belt work
1,@sandramcintosh my friends band played in the city  they were fantastic! drinking tea/ eating my new obsession: twix.,friend band played city fantastic drinking tea eating new obsession twix,friend band play city fantastic drinking tea eat new obsession twix
0,im starting my many hours of work now ,im starting many hour work,m start hour work
0,"@monutza que penÃ³s el meu anglÃ¨s... Que disfrutis dels 17, per molt lluny que siguis sempre et recordem. We miss you ",que pen el meu angls que disfrutis dels 17 per molt lluny que siguis sempre et recordem miss,que pen el meu angls que disfrutis del molt lluny que siguis sempre et recordem miss
1,"@carlitosmum Ohh lush. My Nan lives down in Devon, East Allington (near Totnes) ",ohh lush nan life devon east allington near totnes,ohh lush nan live devon east allington near totnes
0,someone jacked my basketball ,someone jacked basketball,jack basketball
1,@TheCamiBelle no problem camii ,problem camii,problem camii
0,i cant believe my ringtone buddy left myspace ,cant believe ringtone buddy left myspace,not believe ringtone buddy leave myspace
0,United fan stabbed in Rome. The game hasnt even kicked off yet  that's Italian fans for ya though http://tinyurl.com/o6xahb,united fan stabbed rome game hasnt even kicked yet thats italian fan ya though,united fan stab rome game not kick s italian fan ya
1,@piercethevic im glad everythings going good for you guys ,im glad everythings going good guy,m glad everything go good guy
1,"@nontrendy @dillybot awesome pictures! can't wait to chill. tomorrow, on the hottest day of the year, we shall bake cupcakes for you! lol ",awesome picture cant wait chill tomorrow hottest day year shall bake cupcake lol,awesome picture not wait chill tomorrow hot day year shall bake cupcake lol
0,@bopbopperano pee poo throw up at the same time nani noooo. sad sad ,pee poo throw time nani noooo sad sad,pee poo throw time nani noooo sad sad
1,sephora gives free gifts for birthdays... yayyy excuse to go shopping! ,sephora give free gift birthday yayyy excuse go shopping,sephora give free gift birthday yayyy excuse shop
1,@farhink hehe yh man ,hehe yh man,hehe yh man
1,@alanstevens And I shall think about it every time I clean my purse ,shall think every time clean purse,shall think time clean purse
0,Last day at ScreenwritingIndia ,last day screenwritingindia,day screenwritingindia
0,@MegsEggs Ohhh  I would have gone!,ohhh would gone,ohhh go
0,"Driving my roommate to phoenix, didn't realize last night was our last one sharing a house  i'll miss you",driving roommate phoenix didnt realize last night last one sharing house ill miss,drive roommate phoenix not realize night share house ill miss
0,Paying bills suck!!  it's time to win a poker tournament or win the lotto...I'll take my chances w/ the lotto! Ha! As if...btw da wsop ...,paying bill suck time win poker tournament win lottoill take chance w lotto ha ifbtw da wsop,pay bill suck time win poker tournament win lottoill chance w lotto ha ifbtw da wsop
1, yay for summer!!! Its officially summer when there are a lot of teenagers in the pool!! Lol,yay summer officially summer lot teenager pool lol,yay summer officially summer lot teenager pool lol
1,@AskAroundOttawa Gorgeous bride!  Congrats on 3 years ,gorgeous bride congrats 3 year,gorgeous bride congrats year
0,"@Bubbalou 35-54 is standard age range on these sites. To marketers, 35-54 is the same demographic.  ",3554 standard age range site marketer 3554 demographic,standard age range site marketer demographic
0,@nansical-just heardâ¦ Everyone pray for the people on flight 447 &amp; their familiesâ¦. So scary  (via @stephaniepratt),heard everyone pray people flight 447 amp family scary via,hear pray people flight amp family scary
1,i love danny . tweet tweet ,love danny tweet tweet,love danny tweet tweet
0,Bye bye portsmouth ,bye bye portsmouth,bye bye portsmouth
0,@karamellow1 It was like 2 weeks after they came out. I've asked tmobile if they can check my update by my IMEI #..they said no ,like 2 week came ive asked tmobile check update imei said,like week come ve ask tmobile check update imei say
0,sitting at my desk and wishing I was at home with hubster!! ,sitting desk wishing home hubster,sit desk wish home hubster
1,Yes! They want me to join the staff of rupert-grint.us! Yes!!!  happiest day EVER! Ahhh!,yes want join staff rupertgrintus yes happiest day ever ahhh,yes want join staff rupertgrintus yes happy day ahhh
1,"@fredrikth Hi, there you are! Rise and shine. Yes, I did. Pretty early for the last nights hours  But I slept like a baby though ...",hi rise shine yes pretty early last night hour slept like baby though,hi rise shine yes pretty early night hour sleep like baby
0,i don't wanna go into work today... booooooo.. ,dont wanna go work today booooooo,not wanna work today booooooo
0,@chrisluvssixxam miss ya already...  ,miss ya already,miss ya
0,@DonniesCupcake yess I tried that twice  man I got this like a year ago err so mad my brother trtying to fix it though hopefully he get it,yes tried twice man got like year ago err mad brother trtying fix though hopefully get,yess try twice man get like year ago err mad brother trtye fix hopefully
0,I hate being yelled at everyone hates me today ,hate yelled everyone hate today,hate yell hate today
1,Waiting for my clothes to dry at 11pm... and to pass the time - dancing like a loser in the laundry... good thing no-ones's filming it ,waiting clothes dry 11pm pas time dancing like loser laundry good thing nooness filming,wait clothe dry pm pass time dance like loser laundry good thing nooness film
1,"@jashapiro MacStories 1st Contest: Win a copy of Mailplane, the app that brings Gmail to Mac. See details at macstories.net  ",macstories 1st contest win copy mailplane app brings gmail mac see detail macstoriesnet,macstories st contest win copy mailplane app bring gmail mac detail macstoriesnet
0,@Snyper11 it does make u feel better but it is all nasty &amp; hurty ,make u feel better nasty amp hurty,u feel well nasty amp hurty
0,tummy hurting ,tummy hurting,tummy hurt
1,Robert Pattinson and Cam Gigandet won best fight  Twilight&lt;33,robert pattinson cam gigandet best fight twilightlt33,robert pattinson cam gigandet win well fight twilightlt
1,4 more days left. then summerrrr vacationnnn! oh yeah ,4 day left summerrrr vacationnnn oh yeah,day leave summerrrr vacationnnn oh yeah
1,Hanging out with Angela and Elaine. ,hanging angela elaine,hang angela elaine
1,I finally opened my champagne and its almost gone of course. Going to party soon!! Text me ,finally opened champagne almost gone course going party soon text,finally open champagne go course go party soon text
1,On a side note: I have many POSITIVE PPL helping me spread the word of my new music n video. Like youuuuu my sexy TWITTER FAM  I THANK YOU,side note many positive ppl helping spread word new music n video like youuuuu sexy twitter fam thank,note positive ppl help spread word new music n video like youuuuu sexy twitter fam thank
0,@craftymaddie Unfortunately you'll prob have the last laugh on us all buddy ,unfortunately youll prob last laugh u buddy,unfortunately ll prob laugh buddy
0,"@ojosverde HEY BOO!! i was trying to type to u on my new blkberry, buttt then i realized u dont have bbm, nore do u know what that is  awe",hey boo trying type u new blkberry buttt realized u dont bbm nore u know awe,hey boo try type u new blkberry buttt realize u not bbm nore u know awe
1,@sampan22 Oh no!! best stick to flipflops tomo  I will LOVE the dvds guarenteed. Me and Gabs have scheduled next sat night in for a festx,oh best stick flipflops tomo love dvd guarenteed gab scheduled next sat night festx,oh good stick flipflop tomo love dvds guarenteed gabs schedule sat night festx
0,@brunonow dont tell me all those interviews were in french ,dont tell interview french,not tell interview french
1,@Beverleyknight Get urself a nice cupa tea &amp; get James round to give you a hug!!  (I think thats his name!) x x x,get urself nice cupa tea amp get james round give hug think thats name x x x,urself nice cupa tea amp james round hug think s x x x
1,just ate hot champorado.. yummy! ,ate hot champorado yummy,eat hot champorado yummy
1,@josiahpotter please do! i have only been to FL once (if you dont count layovers). it would be awesome to meet you and the WIFE! ,please fl dont count layover would awesome meet wife,fl not count layover awesome meet wife
0,"damn you, Volcano super dark roast... please let me sleep... ",damn volcano super dark roast please let sleep,damn volcano super dark roast let sleep
1,@richa_august84 I think Chrony meant an ape called TR Rajendran. Not Russell Peters. ,_august84 think chrony meant ape called tr rajendran russell peter,august think chrony mean ape call tr rajendran russell peters
1,studying with my guardian ,studying guardian,study guardian
0,home. i gotta go and have a camera shoved in an interesting place on the 14th july. ,home gotta go camera shoved interesting place 14th july,home get to camera shove interesting place th july
1,Working out discounts to make Easter just that bit more fun ,working discount make easter bit fun,work discount easter bit fun
0,ok so i want to go to my ex-boyfriend and talk with hin. i cant understand it....  http://gurlx.com/8z5,ok want go exboyfriend talk hin cant understand,ok want exboyfriend talk hin not understand
0,"@edibow haha, I have snot power too......1 week and counting! ",haha snot power too1 week counting,haha snot power week count
0,"Can't be bothered to go to work today, but has to, it's another late shift as well, I'm tired already! ",cant bothered go work today another late shift well im tired already,not bother work today late shift m tired
1,@tandcmitchell booo! no bad mood! good mood ,booo bad mood good mood,booo bad mood good mood
1,@Otavolimed Yeah picking them out together is better. ,yeah picking together better,yeah pick well
0,getting bored on saturday.. i should get a life ,getting bored saturday get life,get bored saturday life
1,@MisssTiff  what's up with yah tonight?,whats yah tonight,s yah tonight
1,Amanda Palmer is the greatest person in the whole entire world and i am sososo happy i get to be alive at the same time as her. ah! ,amanda palmer greatest person whole entire world sososo happy get alive time ah,amanda palmer great person entire world sososo happy alive time ah
0,Omg my black&amp;white billabong flipflops just fell apart  got new pink num ones :&gt;,omg blackampwhite billabong flipflops fell apart got new pink num one gt,omg blackampwhite billabong flipflop fall apart get new pink num one gt
1,"@randum20 @bradgal Thx for the FF! Seriously, we totally don't stink! Ok, maybe just a bit ",thx ff seriously totally dont stink ok maybe bit,thx ff seriously totally not stink ok maybe bit
1,"drinking espresso, needs to go throw her room back together again, and then it's a day of shopping with the room mates ",drinking espresso need go throw room back together day shopping room mate,drink espresso need throw room day shop room mate
0,@mikestwitter NO  jUst upset my phone is broken,upset phone broken,upset phone break
0,watchin tv bored and on phone with my best friend... misses him ,watchin tv bored phone best friend miss,watchin tv bore phone good friend miss
1,@iAMAliceCullen_ Okay great!  Do you have a family? Just so I can add them,_ okay great family add,okay great family add
1,"@eolai Have only seen cyclists in Asia in Beijing, what a sight. Kinda like Orchestrated Chaos ",seen cyclist asia beijing sight kinda like orchestrated chaos,see cyclist asia beijing sight kinda like orchestrated chaos
1,@sophisticane Thank you.  When are you taking step 1? We should go out and chat when we're both done.,thank taking step 1 go chat done,thank take step chat
0,"@carriehartford ....three new three in a week is not good though. Two would have done another month, the other another year ",three new three week good though two would done another month another year,new week good month year
0,@MariahCarey by d by ms mirage i spent d day takn care of my 10 wek ol nephew b supr great if u cd giv a shout out toTadhg! he's ben sick ,m mirage spent day takn care 10 wek ol nephew b supr great u cd giv shout totadhg he ben sick,d ms mirage spend d day takn care wek ol nephew b supr great u cd giv shout totadhg s ben sick
0,"I need to sleep SO BADLY that it isn't even funny, but I can't. Having such a detrimental effect on my health ",need sleep badly isnt even funny cant detrimental effect health,need sleep badly not funny not have detrimental effect health
1,@nickhalstead got my publisher to implement it - will ask him - but looks as if was v simple - am liking it ,got publisher implement ask look v simple liking,get publisher implement ask look v simple like
0,@D3monicAngel I don't really want to go but I promised a friend I would so I can't back out now ,dont really want go promised friend would cant back,not want promise friend not
0,Getting ready for work ,getting ready work,get ready work
0,is reaaaaally tired but doesn't want to sleep ,reaaaaally tired doesnt want sleep,reaaaaally tired not want sleep
0,Another sick baby.  ,another sick baby,sick baby
1,I have finally figured out a way to enjoy reading the paper - on my new Kindle DX! Very nice improvement. Anyone want to buy a Kindle 1? ,finally figured way enjoy reading paper new kindle dx nice improvement anyone want buy kindle 1,finally figure way enjoy read paper new kindle dx nice improvement want buy kindle
